T,n_regressors,scan_type,prob,crit_val,crit_val_se,n_finite,n_total
50,1,bw,0.1,-3.87042093564778,0.0178901605700992,10000,10000
75,1,bw,0.01,-5.2420629995116,0.0373359868523975,10000,10000
75,1,bw,0.05,-4.58324819762962,0.0218046457324775,10000,10000
75,1,bw,0.1,-4.2215013044833,0.0179910291808978,10000,10000
100,1,bw,0.01,-5.38135669982706,0.0441631751506485,10000,10000
100,1,bw,0.05,-4.69056440660185,0.0189517857856873,10000,10000
100,1,bw,0.1,-4.34442542346624,0.0151069798949138,10000,10000
150,1,bw,0.01,-5.43310657893121,0.0479763087836575,10000,10000
150,1,bw,0.05,-4.76469399285637,0.0138563791551467,10000,10000
150,1,bw,0.1,-4.44956106392696,0.0145430089520113,10000,10000
200,1,bw,0.01,-5.49644394310458,0.037593054027952,10000,10000
200,1,bw,0.05,-4.82134862697154,0.0202523269578188,10000,10000
200,1,bw,0.1,-4.51388197315913,0.0149566536876689,10000,10000
250,1,bw,0.01,-5.49464485940037,0.0403118156165611,10000,10000
250,1,bw,0.05,-4.8342285000306,0.0206323751249542,10000,10000
250,1,bw,0.1,-4.52329111115546,0.0147226424810859,10000,10000
300,1,bw,0.01,-5.46984059597835,0.0303869445453946,10000,10000
300,1,bw,0.05,-4.88137718701106,0.0199148614878456,10000,10000
300,1,bw,0.1,-4.58194132229485,0.0131556075241982,10000,10000
400,1,bw,0.01,-5.51555659175482,0.0285471014691192,10000,10000
400,1,bw,0.05,-4.89700201961811,0.0161451028583511,10000,10000
400,1,bw,0.1,-4.61319890043979,0.0116570176109727,10000,10000
500,1,bw,0.01,-5.52523938469505,0.0332560256470143,10000,10000
500,1,bw,0.05,-4.9177350593411,0.0175325847613065,10000,10000
500,1,bw,0.1,-4.63663418777971,0.0120410095883139,10000,10000
700,1,bw,0.01,-5.51295833324363,0.0341803753065727,10000,10000
700,1,bw,0.05,-4.92872295119938,0.0168847220999944,10000,10000
700,1,bw,0.1,-4.65592379890804,0.0104922391704679,10000,10000
900,1,bw,0.01,-5.56076908901226,0.0322015907852188,10000,10000
900,1,bw,0.05,-4.96440757267338,0.0196819191726406,10000,10000
900,1,bw,0.1,-4.68631190582938,0.0136454924135122,10000,10000
1000,1,bw,0.01,-5.52414737537706,0.0321296737808166,10000,10000
1000,1,bw,0.05,-4.97183342322187,0.0174632223881081,10000,10000
1000,1,bw,0.1,-4.6841331553187,0.0121571198863347,10000,10000
50,2,bw,0.01,-5.40319752225124,0.0577884408440566,10000,10000
50,2,bw,0.05,-4.71021158500613,0.0243778846516186,10000,10000
50,2,bw,0.1,-4.32090081389139,0.0172484520629657,10000,10000
75,2,bw,0.01,-5.70347897167302,0.0408911803429168,10000,10000
75,2,bw,0.05,-5.03502983972402,0.0208014782086374,10000,10000
75,2,bw,0.1,-4.67579511517228,0.0144834453851834,10000,10000
100,2,bw,0.01,-5.79822073033926,0.0420222419542843,10000,10000
100,2,bw,0.05,-5.1317867446008,0.0216222327827512,10000,10000
100,2,bw,0.1,-4.77567604840654,0.017585988280707,10000,10000
150,2,bw,0.01,-5.8401758731686,0.034967509552671,10000,10000
150,2,bw,0.05,-5.20975851130736,0.0206394824244291,10000,10000
150,2,bw,0.1,-4.89305683146409,0.0140980837444238,10000,10000
200,2,bw,0.01,-5.85413999267362,0.0427150313460283,10000,10000
200,2,bw,0.05,-5.23644027512679,0.0200036312351322,10000,10000
200,2,bw,0.1,-4.92659646305177,0.0136304942701167,10000,10000
250,2,bw,0.01,-5.94694382692364,0.0383191212803855,10000,10000
250,2,bw,0.05,-5.2858036804642,0.0180846729392842,10000,10000
250,2,bw,0.1,-4.98248413842586,0.0155321202260303,10000,10000
300,2,bw,0.01,-5.91275224164632,0.0342642469515391,10000,10000
300,2,bw,0.05,-5.3104857760976,0.0235194236980214,10000,10000
300,2,bw,0.1,-5.01672447266864,0.014100822507244,10000,10000
400,2,bw,0.01,-5.96221810247958,0.0373206548535894,10000,10000
400,2,bw,0.05,-5.33938256986756,0.0179426076485125,10000,10000
400,2,bw,0.1,-5.04424792689582,0.0142248804727146,10000,10000
500,2,bw,0.01,-5.98867961128956,0.0367676725391778,10000,10000
500,2,bw,0.05,-5.34403021532166,0.0166799238583251,10000,10000
500,2,bw,0.1,-5.05393835988852,0.0118472446610972,10000,10000
700,2,bw,0.01,-5.92725004012337,0.0392690698922853,10000,10000
700,2,bw,0.05,-5.3604670881857,0.0163954713181249,10000,10000
700,2,bw,0.1,-5.07822793881478,0.0128414451873802,10000,10000
900,2,bw,0.01,-5.91815760616238,0.0352560157299607,10000,10000
900,2,bw,0.05,-5.36591325793315,0.0182664466140038,10000,10000
900,2,bw,0.1,-5.0890072249448,0.011858961600925,10000,10000
1000,2,bw,0.01,-5.94519215035898,0.0270915321129689,10000,10000
1000,2,bw,0.05,-5.39375835135009,0.0177380503593073,10000,10000
1000,2,bw,0.1,-5.12485189135558,0.0139523196235184,10000,10000
50,3,bw,0.01,-5.88000114852883,0.0379101432739537,10000,10000
50,3,bw,0.05,-5.14232006428112,0.0222711456889639,10000,10000
50,3,bw,0.1,-4.75042906453294,0.0142579050272192,10000,10000
75,3,bw,0.01,-6.03121137577701,0.0426044599644346,10000,10000
75,3,bw,0.05,-5.39804841630193,0.0186716921764046,10000,10000
75,3,bw,0.1,-5.05212081087507,0.0179367433309684,10000,10000
100,3,bw,0.01,-6.17992982114799,0.0373555403554094,10000,10000
100,3,bw,0.05,-5.49163732186002,0.0245338938428508,10000,10000
100,3,bw,0.1,-5.15298748842776,0.0144761663743883,10000,10000
150,3,bw,0.01,-6.2555077082506,0.0311711628326272,10000,10000
150,3,bw,0.05,-5.62009728644493,0.0137217524689375,10000,10000
150,3,bw,0.1,-5.30096440476823,0.0137427426379546,10000,10000
200,3,bw,0.01,-6.28438365187677,0.0360209331367689,10000,10000
200,3,bw,0.05,-5.6285529131366,0.0188550466318841,10000,10000
200,3,bw,0.1,-5.30564816206472,0.0134934208185905,10000,10000
250,3,bw,0.01,-6.31335454862675,0.0392596587271078,10000,10000
250,3,bw,0.05,-5.6789616610354,0.0206545383282146,10000,10000
250,3,bw,0.1,-5.35532851016909,0.0159950732732848,10000,10000
300,3,bw,0.01,-6.29145902431812,0.0351206342826725,10000,10000
300,3,bw,0.05,-5.68313400553125,0.0180288994086814,10000,10000
300,3,bw,0.1,-5.38544713867958,0.0136053957378631,10000,10000
400,3,bw,0.01,-6.32327106546776,0.0397103934744589,10000,10000
400,3,bw,0.05,-5.71211615078629,0.019199456234955,10000,10000
400,3,bw,0.1,-5.40802114017809,0.0150252522738279,10000,10000
500,3,bw,0.01,-6.29454212155361,0.0377404201369902,10000,10000
500,3,bw,0.05,-5.71309054973881,0.019525536278423,10000,10000
500,3,bw,0.1,-5.42897247240451,0.0132335609372039,10000,10000
700,3,bw,0.01,-6.33591507188408,0.034477985837335,10000,10000
700,3,bw,0.05,-5.7175609618186,0.0152429393781022,10000,10000
700,3,bw,0.1,-5.43431696133689,0.0131323448016392,10000,10000
900,3,bw,0.01,-6.32877503684087,0.0359042761333058,10000,10000
900,3,bw,0.05,-5.73072579793021,0.0179693364105206,10000,10000
900,3,bw,0.1,-5.43466380918705,0.0117299940278867,10000,10000
1000,3,bw,0.01,-6.30044989669713,0.0323242136860838,10000,10000
1000,3,bw,0.05,-5.72449325498223,0.0150875251185988,10000,10000
1000,3,bw,0.1,-5.46439907230185,0.0130634073146998,10000,10000
50,4,bw,0.01,-6.14671674659205,0.0300131542534538,10000,10000
50,4,bw,0.05,-5.48763472655999,0.0237740192396663,10000,10000
50,4,bw,0.1,-5.13635955570301,0.0202895320290206,10000,10000
75,4,bw,0.01,-6.44940635566272,0.036521560310193,10000,10000
75,4,bw,0.05,-5.79550678239022,0.0187564817584396,10000,10000
75,4,bw,0.1,-5.43668668688191,0.0158375141197356,10000,10000
100,4,bw,0.01,-6.55112728819874,0.0469600268296361,10000,10000
100,4,bw,0.05,-5.86398831013813,0.022431834616171,10000,10000
100,4,bw,0.1,-5.53487006023562,0.0123310119417569,10000,10000
150,4,bw,0.01,-6.57325063067232,0.0330526305867557,10000,10000
150,4,bw,0.05,-5.92601785486561,0.0177172666484001,10000,10000
150,4,bw,0.1,-5.6212339256706,0.0166996882576445,10000,10000
200,4,bw,0.01,-6.6244647407785,0.0335601393106911,10000,10000
200,4,bw,0.05,-5.99441957624541,0.0190455458151788,10000,10000
200,4,bw,0.1,-5.6927288616385,0.0163117464422676,10000,10000
250,4,bw,0.01,-6.65375026499472,0.032421963503354,10000,10000
250,4,bw,0.05,-6.01936336922625,0.0209306648864243,10000,10000
250,4,bw,0.1,-5.71403085890059,0.0159310074415319,10000,10000
300,4,bw,0.01,-6.62844009727697,0.0428101908831913,10000,10000
300,4,bw,0.05,-6.02491074395934,0.0186398649674817,10000,10000
300,4,bw,0.1,-5.72575355712109,0.0123150615390222,10000,10000
400,4,bw,0.01,-6.61215628936062,0.0352511368621896,10000,10000
400,4,bw,0.05,-6.00810284136499,0.0181901041499457,10000,10000
400,4,bw,0.1,-5.73435628378085,0.0118247436232387,10000,10000
500,4,bw,0.01,-6.60944379051857,0.0294534548455067,10000,10000
500,4,bw,0.05,-6.03945122542517,0.0146735391855982,10000,10000
500,4,bw,0.1,-5.75262399513078,0.0135628091002441,10000,10000
700,4,bw,0.01,-6.57830323469156,0.0332172934851607,10000,10000
700,4,bw,0.05,-6.05205674496548,0.015534200117087,10000,10000
700,4,bw,0.1,-5.78348810603985,0.0125967118480543,10000,10000
900,4,bw,0.01,-6.60609100297501,0.0290880876833748,10000,10000
900,4,bw,0.05,-6.07442520879327,0.0146356761458134,10000,10000
900,4,bw,0.1,-5.79886151966288,0.0130427264052582,10000,10000
1000,4,bw,0.01,-6.64245338381942,0.0345053711752645,10000,10000
1000,4,bw,0.05,-6.07916411159252,0.0171245567847684,10000,10000
1000,4,bw,0.1,-5.79078078970544,0.0131409368683616,10000,10000
50,5,bw,0.01,-6.59607741339888,0.0449575687576043,10000,10000
50,5,bw,0.05,-5.81553440834374,0.0192636664798943,10000,10000
50,5,bw,0.1,-5.41893921143862,0.0184672123805759,10000,10000
75,5,bw,0.01,-6.72987086963633,0.0371434927384354,10000,10000
75,5,bw,0.05,-6.07560339088721,0.0202315086750582,10000,10000
75,5,bw,0.1,-5.71880745959293,0.0171157668378705,10000,10000
100,5,bw,0.01,-6.86028084102348,0.0390885549401152,10000,10000
100,5,bw,0.05,-6.18114221602258,0.0213224890561558,10000,10000
100,5,bw,0.1,-5.85105611816938,0.0149362476871473,10000,10000
150,5,bw,0.01,-6.87522464518387,0.0428766879864137,10000,10000
150,5,bw,0.05,-6.23970403247896,0.0199976695333334,10000,10000
150,5,bw,0.1,-5.93037289636174,0.0146521477054136,10000,10000
200,5,bw,0.01,-6.93804624025609,0.0355905117737322,10000,10000
200,5,bw,0.05,-6.33306337882393,0.015125202962001,10000,10000
200,5,bw,0.1,-6.01227161642186,0.0155505107396179,10000,10000
250,5,bw,0.01,-6.9172148798865,0.0484351540065713,10000,10000
250,5,bw,0.05,-6.32653066106526,0.0186310239987762,10000,10000
250,5,bw,0.1,-6.02478179626305,0.0111774641325955,10000,10000
300,5,bw,0.01,-6.90312142767881,0.0337023240499501,10000,10000
300,5,bw,0.05,-6.31699421422199,0.0173050382347535,10000,10000
300,5,bw,0.1,-6.0221286073991,0.0138647194514529,10000,10000
400,5,bw,0.01,-6.90341672716872,0.032117810346824,10000,10000
400,5,bw,0.05,-6.32215334633793,0.0134512784625756,10000,10000
400,5,bw,0.1,-6.04162658446209,0.0131121583758246,10000,10000
500,5,bw,0.01,-6.92084762485564,0.025984893404805,10000,10000
500,5,bw,0.05,-6.37804641171563,0.0160210452016045,10000,10000
500,5,bw,0.1,-6.08086020628289,0.0133511602737881,10000,10000
700,5,bw,0.01,-6.99362699075511,0.0388436650230014,10000,10000
700,5,bw,0.05,-6.36607436525802,0.0184633454419257,10000,10000
700,5,bw,0.1,-6.10216598044558,0.0115665669468916,10000,10000
900,5,bw,0.01,-6.92761869610591,0.0490671822087661,10000,10000
900,5,bw,0.05,-6.37364074067387,0.016637265881406,10000,10000
900,5,bw,0.1,-6.10271685982444,0.0149365644045429,10000,10000
